model,lambda,arrived,dropped,served,instant_nsys,instant_nq,total_nsys,total_nq,total_wait,total_sojourn,avg_nsys,avg_nq,avg_wait,avg_sojourn,drop_prob
M/M/3/8,4.0,117,0,117,0,0,13.69253309492845,0.007768181773890603,0.015536363547781207,13.69253309492845,0.45641776983094834,0.0002589393924630201,0.000132789432032318,0.11703019739255086,0.0
M/M/3/8,4.0,125,0,123,2,0,18.048082686217384,0.20114191465049203,0.40228382930098405,18.037178570647644,0.6016027562072461,0.006704730488349734,0.0032706002382193824,0.1466437282166475,0.0
M/M/3/8,4.0,120,0,120,0,0,14.132456796868365,0.011886545493862144,0.023773090987724288,14.132456796868365,0.4710818932289455,0.00039621818312873813,0.00019810909156436907,0.11777047330723638,0.0
M/M/3/8,4.0,98,0,98,0,0,11.78187881676779,0.05936756346533656,0.11873512693067312,11.78187881676779,0.3927292938922597,0.0019789187821778855,0.0012115829278640114,0.12022325323232438,0.0
M/M/3/8,4.0,99,0,98,1,0,14.775534982346976,0.027992718014922202,0.055985436029844404,14.435265522585379,0.4925178327448992,0.0009330906004974067,0.0005712799594882082,0.14729862778148345,0.0
M/M/3/8,4.0,145,0,145,0,0,12.76525518683348,0.029470734103316687,0.058941468206633374,12.76525518683348,0.4255085062277827,0.0009823578034438897,0.0004064928841836784,0.08803624266781711,0.0
M/M/3/8,4.0,109,0,109,0,0,12.864071557856779,0.0,0.0,12.864071557856779,0.4288023852618926,0.0,0.0,0.1180190051179521,0.0
M/M/3/8,4.0,120,0,119,1,0,13.770705658755348,0.08759209850060934,0.17518419700121868,13.77070565875535,0.4590235219585116,0.002919736616686978,0.0014721361092539386,0.11572021561979286,0.0
M/M/3/8,4.0,105,0,105,0,0,11.988232987980803,0.0,0.0,11.988232987980803,0.3996077662660268,0.0,0.0,0.11417364750457908,0.0
M/M/3/8,4.0,118,0,117,1,0,13.672587271379125,0.0027569546833312586,0.005513909366662517,13.634989807114245,0.4557529090459708,9.189848944437528e-05,4.712743048429502e-05,0.11653837441977986,0.0
M/M/3/8,4.0,123,0,123,0,0,13.965175067656041,0.1671109367482,0.3342218734964,13.965175067656041,0.4655058355885347,0.005570364558273333,0.002717251004035772,0.11353800868013042,0.0
M/M/3/8,4.0,112,0,112,0,0,16.66387711869356,0.0,0.0,16.66387711869356,0.5554625706231187,0.0,0.0,0.14878461713119248,0.0
M/M/3/8,4.0,126,0,124,2,0,16.437728180900063,0.19378841487267717,0.38757682974535435,16.341083276906204,0.5479242726966688,0.0064596138290892394,0.0031256195947205996,0.13178292965246938,0.0
M/M/3/8,4.0,116,0,116,0,0,14.590305311319288,0.008703894578211191,0.017407789156422382,14.590305311319288,0.4863435103773096,0.00029012981927370636,0.00015006714790019295,0.1257784940630973,0.0
M/M/3/8,4.0,119,0,117,2,0,14.383986345549483,0.0,0.0,14.140812313891585,0.4794662115183161,0.0,0.0,0.12086164370847509,0.0
M/M/3/8,4.0,123,0,122,1,0,16.195116863018523,0.4212821128911557,0.8425642257823114,15.851368724419569,0.5398372287672841,0.014042737096371856,0.00690626414575665,0.12992925183950466,0.0
M/M/3/8,4.0,139,0,139,0,0,17.82823719073108,0.06859223036681783,0.13718446073363566,17.82823719073108,0.5942745730243694,0.0022864076788939275,0.0009869385664290336,0.12826069921389266,0.0
M/M/3/8,4.0,129,0,129,0,0,18.59654043676722,0.0,0.0,18.596540436767224,0.619884681225574,0.0,0.0,0.14415922819199398,0.0
